date_actual,date_tiananmen
2019-06-15,1989-05-13
2019-06-16,1989-05-14
2019-06-30,1989-05-13
2019-07-01,1989-05-07
2019-07-03,1989-05-19
2019-07-05,1989-05-10
2019-07-21,1989-05-09
2019-07-22,1989-05-15
2019-07-24,1989-05-09
2019-07-30,1989-05-10
2019-08-02,1989-05-16
2019-08-03,1989-05-10
2019-08-04,1989-05-15
2019-08-05,1989-05-26
2019-08-06,1989-05-17
2019-08-07,1989-05-15
2019-08-08,1989-05-16
2019-08-09,1989-05-16
2019-08-10,1989-05-15
2019-08-11,1989-05-14
2019-08-12,1989-05-16
2019-08-13,1989-05-20
2019-08-14,1989-05-14
2019-08-15,1989-05-23
2019-08-16,1989-05-22
2019-08-17,1989-05-17
2019-08-18,1989-05-15
2019-08-19,1989-05-16
2019-08-20,1989-05-21
2019-08-21,1989-05-16
2019-08-22,1989-05-15
2019-08-23,1989-05-15
2019-08-24,1989-05-15
2019-08-25,1989-05-14
2019-08-26,1989-05-14
2019-08-27,1989-05-15
2019-08-28,1989-05-17
2019-08-29,1989-05-14
2019-08-30,1989-05-18
2019-08-31,1989-05-15
2019-09-01,1989-05-14
2019-09-02,1989-05-18
2019-09-03,1989-05-14
2019-09-04,1989-05-13
2019-09-05,1989-05-14
2019-09-06,1989-05-14
2019-09-09,1989-05-11
2019-09-11,1989-05-11
2019-09-12,1989-05-14
2019-09-13,1989-05-14
2019-09-14,1989-05-17
2019-09-18,1989-05-15
2019-09-20,1989-05-13
2019-09-21,1989-05-15
2019-09-27,1989-05-16
2019-09-28,1989-05-14
2019-09-30,1989-05-19
2019-10-05,1989-05-22
2019-10-06,1989-05-18
2019-10-09,1989-05-19
2019-10-14,1989-05-08
2019-10-17,1989-05-16
2019-10-19,1989-05-09
2019-10-25,1989-05-19
2019-10-26,1989-05-17
2019-10-27,1989-05-08
2019-10-28,1989-05-14
2019-10-30,1989-05-11
2019-10-31,1989-05-16
2019-11-03,1989-05-20
2019-11-05,1989-05-15
2019-11-07,1989-05-15
2019-11-08,1989-05-21
2019-11-09,1989-05-24
2019-11-13,1989-05-26
2019-11-14,1989-05-26
2019-11-15,1989-05-20
2019-11-16,1989-05-22
2019-11-17,1989-05-17
2019-11-18,1989-05-14
2019-11-19,1989-05-25
2019-11-20,1989-05-16
